,time,nBits,value,in_count,out_count,count,value_min,value_max,in_min,in_max,out_min,out_max,Open,Close,Volume BTC,Volume USD
0,1577754000,8843620987040,5739805858577,47875,64824,22834,0,319312747405,1,341,1,6794,7213.03,7241.81,4.373,31646.53
1,1577757600,2834265498080,1936618920820,14717,25700,7318,546,89520922991,1,240,1,961,7241.81,7218.15,4.257,30736.63
2,1577761200,6125932957520,3151256057563,29784,39876,15817,540,96207131903,1,240,1,1187,7218.15,7216.57,35.06,252657.67
3,1577764800,4254496651600,2344403879425,20579,25298,10985,540,89505761660,1,240,1,185,7216.57,7223.75,7.914,57179.15
4,1577768400,3883462715120,3237367959322,24148,24417,10027,0,580000000000,1,600,1,753,7223.75,7240.77,4.07,29498.68
5,1577772000,3310645186880,1687628501891,17074,22370,8548,546,112770153918,1,500,1,1758,7240.77,7217.74,5.718,41350.62
6,1577775600,4751790570640,2836095139368,29174,29800,12269,540,96875712773,1,550,1,173,7217.74,7230.12,12.55,90636.92
7,1577779200,6573265104320,2660375074161,37687,41001,16972,546,94416191855,1,460,1,323,7230.12,7208.11,0.6202,4476.3
8,1577782800,5116240397600,2496550287710,27140,32153,13210,546,95844186367,1,240,1,188,7208.11,7202.99,3.1189999999999998,22482.74
9,1577786400,6582173017200,2766500376343,37210,41215,16995,0,92887035590,1,860,1,201,7202.99,7219.13,10.37,74669.87
10,1577790000,4075563792880,3364869980670,22061,26635,10523,0,1172904522444,1,380,1,551,7219.13,7212.42,7.093,51261.2
11,1577793600,5012831148080,3117152618109,40756,31814,12943,546,97704261683,1,800,1,101,7212.42,7220.06,0.9469,6830.8
12,1577797200,2788564032000,1506418504454,14015,17310,7200,546,90383275219,1,107,1,61,7220.06,7219.86,1.524,11006.01
13,1577800800,3826916833360,3444158004637,24843,25693,9881,546,114332818206,1,522,1,97,7219.86,7206.6,23.54,170515.74
14,1577804400,2502736218720,3744776411981,19267,17398,6462,540,1827090285773,1,498,1,366,7206.6,7177.48,19.2,138024.93
15,1577808000,6175120128640,4168860580766,34264,37777,15944,546,439065836065,1,249,1,100,7177.48,7192.0,9.476,68182.14
16,1577811600,8825417860720,7543428565547,59009,54702,22787,540,299999988639,1,604,1,392,7192.0,7140.0,48.63,348736.95
17,1577815200,4338928173680,3309076303972,23715,29699,11203,546,99999998998,1,980,1,599,7140.0,7149.07,15.21,108539.16
18,1577818800,6216561288560,3257383850903,34547,40423,16051,546,206827548809,1,511,1,1643,7149.07,7151.43,43.57,311974.64
19,1577822400,3464403509200,3302229870781,18911,20335,8945,0,302813735795,1,250,1,79,7151.43,7151.36,12.31,88045.1
20,1577826000,6181704238160,3396593239708,37988,35553,15961,0,98077046231,1,777,1,188,7151.36,7159.88,17.49,125316.12
21,1577829600,5092615063440,2459931863640,27399,30482,13149,546,182467143391,1,825,1,319,7159.88,7180.77,18.55,133039.81
22,1577833200,2874932056880,1008958138508,13579,17265,7423,546,49350951737,1,274,1,343,7180.77,7172.0,16.9,121275.45
23,1577836800,4934983735520,2650869844956,23073,29143,12742,546,93050879690,1,247,1,596,7172.0,7169.91,4.271,30615.57
24,1577840400,3274626234800,1990682889881,14293,26453,8455,0,107546387427,1,308,1,2008,7169.91,7198.82,4.397,31581.13
25,1577844000,4208795185520,2306762681224,20901,35417,10867,400,96716144956,1,308,1,953,7198.82,7216.0,2.563,18478.37
26,1577847600,3568587359840,1346666965169,17236,23441,9214,0,101579375860,1,293,1,501,7216.0,7206.5,3.033,21865.33
27,1577851200,2346654093040,984244889170,11363,20810,6059,546,83780913257,1,127,1,6830,7206.5,7200.72,11.23,80842.87
28,1577854800,2639453316400,643383750299,13539,15737,6815,540,19991275009,1,401,1,173,7200.72,7199.35,2.846,20507.34
29,1577858400,4546908574400,2033705285631,25255,29899,11740,0,83777951317,1,887,1,1694,7199.35,7211.41,0.3257,2348.15
30,1577862000,3818783521600,2374985684965,19142,22880,9860,546,274999923442,1,660,1,154,7211.41,7189.93,2.625,18898.31
31,1577865600,3246740594480,1572207827383,16108,20414,8383,0,92601402110,1,257,1,374,7189.93,7168.62,0.05175,371.14
32,1577869200,3214981948560,1560136314468,17556,20110,8301,546,101082416652,1,640,1,145,7168.62,7171.54,0.1891,1356.75
33,1577872800,4317626642880,1793833660598,20941,26174,11148,546,100785226228,1,166,1,105,7171.54,7177.31,2.937,21054.67
34,1577876400,3082137856480,1411788460062,19239,19267,7958,540,92584368470,1,677,1,74,7177.31,7175.22,17.27,123951.99
35,1577880000,3463241607520,1431441722919,22538,21401,8942,0,99825575629,1,409,1,145,7175.22,7205.24,1.365,9797.63
36,1577883600,5033745378320,2078677419870,24959,29113,12997,546,99903218345,1,193,1,156,7205.24,7200.35,0.4737,3413.1
37,1577887200,4481454779760,1301902311265,26801,27673,11571,0,83454710605,1,500,1,123,7200.35,7205.9,1.119,8059.23
